Job_title,Job_link,Company,Location,Expiration_date
Gestionnaire d’Approvisionnement,http://www.mediacongo.net/emploi-societe-18482.html,Chemonics,Kananga et Mbuji-Mayi,23.06.2016
Assistant(e) aux Finances,http://www.mediacongo.net/emploi-societe-18481.html,Chemonics,Kananga et Mbuji-Mayi,23.06.2016
Gestionnaire de Programme et Planification,http://www.mediacongo.net/emploi-societe-18480.html,Chemonics,Kinshasa,23.06.2016
Coordonnateur Suivi-Evaluation,http://www.mediacongo.net/emploi-societe-18479.html,Chemonics,Kananga & Mbji-Mayi,23.06.2016
Monitoring and Evaluation Officer,http://www.mediacongo.net/emploi-societe-18478.html,The Union,Kinshasa,23.06.2016
Senior finance officer,http://www.mediacongo.net/emploi-societe-18308.html,fhi360,Kinshasa,24.05.2016
Conseiller Principal Voix et Redevabilité,http://www.mediacongo.net/emploi-societe-18303.html,IRC,Kinshasa,24.05.2016
Directeur de programme,http://www.mediacongo.net/emploi-societe-18302.html,IRC,Kinshasa,24.05.2016
Conseiller Principal Voix et Redevabilité,http://www.mediacongo.net/emploi-societe-18303.html,IRC,Kinshasa,24.05.2016
Directeur de programme,http://www.mediacongo.net/emploi-societe-18302.html,IRC,Kinshasa,24.05.2016
Program Development Advisor,http://www.mediacongo.net/emploi-societe-18495.html,WfWI,Goma,24.06.2016
Coordonnateur du projet GTA sur les populations,http://www.mediacongo.net/emploi-societe-18493.html,ICAP,Kinshasa,24.06.2016
Coordonnateur Assurance Qualité,http://www.mediacongo.net/emploi-societe-18490.html,ASF/PSI,Kinshasa,24.06.2016
In-Country Project Director,http://www.mediacongo.net/emploi-societe-18309.html,RTI,Kinshasa,25.05.2016
In-Country Project Director,http://www.mediacongo.net/emploi-societe-18309.html,RTI,Kinshasa,25.05.2016
Médecin Généraliste,http://www.mediacongo.net/emploi-societe-18322.html,Centre Médical Diamant,Kinshasa,27.05.2016
Médecin Généraliste,http://www.mediacongo.net/emploi-societe-18322.html,Centre Médical Diamant,Kinshasa,27.05.2016
Coordinateur Foresterie Communautaire,http://www.mediacongo.net/emploi-societe-18329.html,WRI,Kinshasa,30.05.2016
Field Officer Détention (Agent de terrain pour les activités en détention),http://www.mediacongo.net/emploi-societe-18328.html,CICR,Uvira,30.05.2016
Coordinateur Foresterie Communautaire,http://www.mediacongo.net/emploi-societe-18329.html,WRI,Kinshasa,30.05.2016
Program Development Advisor,http://www.mediacongo.net/emploi-societe-18495.html,WfWI,Goma,24.06.2016
Coordonnateur du projet GTA sur les populations,http://www.mediacongo.net/emploi-societe-18493.html,ICAP,Kinshasa,24.06.2016
Coordonnateur Assurance Qualité,http://www.mediacongo.net/emploi-societe-18490.html,ASF/PSI,Kinshasa,24.06.2016
Administrateur du Programme de Lutte contre les Maladies Tropicales Négligées (NTD Programme Officer) au Maniema,http://www.mediacongo.net/emploi-societe-18487.html,IMA WorldHealth,Kinshasa,23.06.2016
Regional Program Specialist,http://www.mediacongo.net/emploi-societe-18486.html,USAID,Kinshasa,23.06.2016
Technical and Administrative staff,http://www.mediacongo.net/emploi-societe-18497.html,JICA,Kinshasa,27.06.2016
Sélection de 15 Consultants Nationaux pour la constitution d’un Panel d’Experts pour le Fonds National REDD+,http://www.mediacongo.net/emploi-societe-18508.html,PNUD,Kinshasa,27.06.2016
Assistant de Suivi & Evaluation,http://www.mediacongo.net/emploi-societe-18507.html,Counterpart International,"Goma, Kisangani, Mbandaka",27.06.2016
Assistant aux subventions,http://www.mediacongo.net/emploi-societe-18506.html,Counterpart International,"Goma, Mbandaka et Kisangani",27.06.2016
Expert(e) environnementaliste,http://www.mediacongo.net/emploi-societe-18505.html,CTB,Kisangani,27.06.2016
Chargé(e)s de programme,http://www.mediacongo.net/emploi-societe-18504.html,CTB,Provinces,27.06.2016
Chargé de Subventions (Grant Officer),http://www.mediacongo.net/emploi-societe-18503.html,MSH,"Kolwezi, Kamina, Mweneditu, Lodja et Kananga",27.06.2016
Chargé de Conformité,http://www.mediacongo.net/emploi-societe-18502.html,MSH,Kinshasa,27.06.2016
Assistant aux Contrats,http://www.mediacongo.net/emploi-societe-18501.html,MSH,Kinshasa,27.06.2016
